thisN,thisTrialN,thisRepN,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002986999985296279,0.011347500025294721,0.011347500025294721,0.8117469999706373,space,0.7840069000376388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-15_20h33.21.382,Teamprojekt,,2025.1.0,88.72319342894211,2026-06-15 20h33.25.786446 +0200,
0,0,0,0,0,0,0,0.816868300025817,,,,,,,,,0.8120745000196621,0.816868300025817,0.816868300025817,0.816868300025817,0.816868300025817,1.0174458000110462,1.0174458000110462,1.0174458000110462,1.0174458000110462,1.0060882000252604,1.0061596999876201,1.0174458000110462,1.0174458000110462,1.0174458000110462,1.0174458000110462,1.2174771999707446,1.2174771999707446,1.2174771999707446,1.2174771999707446,1.2060146000003442,1.206056599970907,1.2174771999707446,2.006598000007216,,,,,,001,2026-06-15_20h33.21.382,Teamprojekt,,2025.1.0,88.72319342894211,2026-06-15 20h33.25.786446 +0200,
1,0,1,1,0,1,0,2.0179857999901287,,,,,,,,,2.006814999971539,2.0179857999901287,2.0179857999901287,2.0179857999901287,2.0179857999901287,2.21728979999898,2.21728979999898,2.21728979999898,2.21728979999898,2.206632899993565,2.206667300022673,2.21728979999898,2.21728979999898,2.21728979999898,2.21728979999898,2.416945500008296,2.416945500008296,2.416945500008296,2.416945500008296,2.4056802000268362,2.405726799974218,2.416945500008296,3.2056037000147626,3.217140999971889,,,,,001,2026-06-15_20h33.21.382,Teamprojekt,,2025.1.0,88.72319342894211,2026-06-15 20h33.25.786446 +0200,
2,0,2,2,0,2,0,3.217140999971889,,,,,,,,,3.205731800000649,3.217140999971889,3.217140999971889,3.217140999971889,3.217140999971889,3.4164668999728747,3.4164668999728747,3.4164668999728747,3.4164668999728747,3.4057815999840386,3.4058475000201724,3.4164668999728747,3.4164668999728747,3.4164668999728747,3.4164668999728747,3.6164769000024535,3.6164769000024535,3.6164769000024535,3.6164769000024535,3.6060882000019774,3.60613570001442,3.6164769000024535,4.40617570001632,4.417368699971121,,,,,001,2026-06-15_20h33.21.382,Teamprojekt,,2025.1.0,88.72319342894211,2026-06-15 20h33.25.786446 +0200,
3,0,3,3,0,3,0,4.417368699971121,,,,,,,,,4.4063399999868125,4.417368699971121,4.417368699971121,4.417368699971121,4.417368699971121,4.6176784000126645,4.6176784000126645,4.6176784000126645,4.6176784000126645,4.605851600004826,4.605895899992902,4.6176784000126645,4.6176784000126645,4.6176784000126645,4.6176784000126645,4.8166102999821305,4.8166102999821305,4.8166102999821305,4.8166102999821305,4.805909299990162,4.805953699979,4.8166102999821305,5.606130999978632,,,,,,001,2026-06-15_20h33.21.382,Teamprojekt,,2025.1.0,88.72319342894211,2026-06-15 20h33.25.786446 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.606221599970013,5.6176471000071615,5.6176471000071615,,,,,,,,,
