thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026871999725699425,0.006334499979857355,0.9978454999509268,2.1539253999944776,space,1.1482120000291616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2.164995300001465,,,,,,,,,RL,2.1546675999998115,2.164995300001465,2.164995300001465,2.164995300001465,2.164995300001465,3.1648384999716654,3.1648384999716654,3.1648384999716654,3.1648384999716654,3.1541758999810554,3.154519599978812,3.1648384999716654,3.1648384999716654,3.1648384999716654,3.1648384999716654,4.1642150999978185,4.1642150999978185,4.1642150999978185,4.1642150999978185,4.1537876999937,4.153820999956224,4.1642150999978185,4.95404799998505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,4.964159399969503,,,,,,,,,LR,4.954722900001798,4.964159399969503,4.964159399969503,4.964159399969503,4.964159399969503,5.964006699970923,5.964006699970923,5.964006699970923,5.964006699970923,5.953124499996193,5.953485199948773,5.964006699970923,5.964006699970923,5.964006699970923,5.964006699970923,6.964652700000443,6.964652700000443,6.964652700000443,6.964652700000443,6.953319199965335,6.95337079995079,6.964652700000443,7.753632299951278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,7.764002399984747,,,,,,,,,LR,7.754207199963275,7.764002399984747,7.764002399984747,7.764002399984747,7.764002399984747,8.764269999985117,8.764269999985117,8.764269999985117,8.764269999985117,8.754547199991066,8.755011799978092,8.764269999985117,8.764269999985117,8.764269999985117,8.764269999985117,9.764773899980355,9.764773899980355,9.764773899980355,9.764773899980355,9.753973499988206,9.754006299946923,9.764773899980355,10.553466799960006,10.564744499977678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,10.564744499977678,,,,,,,,,RL,10.55399759998545,10.564744499977678,10.564744499977678,10.564744499977678,10.564744499977678,11.563818299968261,11.563818299968261,11.563818299968261,11.563818299968261,11.553261199966073,11.553626699955203,11.563818299968261,11.563818299968261,11.563818299968261,11.563818299968261,12.564426600001752,12.564426600001752,12.564426600001752,12.564426600001752,12.555092499998864,12.55512729997281,12.564426600001752,13.352884599997196,13.364083699998446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35298609995516,13.364083699998446,13.852620199962985,14.230762499966659,space,0.3693942000390962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,14.241425999964122,,,,,,,,,LR,14.232094799983315,14.241425999964122,14.241425999964122,14.241425999964122,14.241425999964122,15.241335499973502,15.241335499973502,15.241335499973502,15.241335499973502,15.231527399970219,15.386504299996886,15.397600399970543,15.397600399970543,15.397600399970543,15.397600399970543,16.397401999973226,16.397401999973226,16.397401999973226,16.397401999973226,16.38675449998118,16.38678879995132,16.397401999973226,17.18684649997158,,,,,,,,,15.231566899979953,15.241335499973502,15.397600399970543,15.3860563999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,17.19674159999704,,,,,,,,,RL,17.18739999999525,17.19674159999704,17.19674159999704,17.19674159999704,17.19674159999704,18.19682599999942,18.19682599999942,18.19682599999942,18.19682599999942,18.185788799950387,18.342168299946934,18.352596399956383,18.352596399956383,18.352596399956383,18.352596399956383,19.353233999980148,19.353233999980148,19.353233999980148,19.353233999980148,19.341745299985632,19.34179719997337,19.353233999980148,20.142291500000283,,,,,,,,,18.185821899969596,18.19682599999942,18.352596399956383,18.34174849995179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,20.152468099957332,,,,,,,,,LR,20.14284999994561,20.152468099957332,20.152468099957332,20.152468099957332,20.152468099957332,21.152124499960337,21.152124499960337,21.152124499960337,21.152124499960337,21.14118649996817,21.297436799970455,21.307744699995965,21.307744699995965,21.307744699995965,21.307744699995965,22.307893199962564,22.307893199962564,22.307893199962564,22.307893199962564,22.29783979995409,22.297889699984808,22.307893199962564,23.09661289997166,23.108597599959467,,,,,,,,21.141221400001086,21.152124499960337,21.307744699995965,21.297058999945875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,23.108597599959467,,,,,,,,,LR,23.097111299983226,23.108597599959467,23.108597599959467,23.108597599959467,23.108597599959467,24.108170299965423,24.108170299965423,24.108170299965423,24.108170299965423,24.097066099988297,24.254164699988905,24.264149700000416,24.264149700000416,24.264149700000416,24.264149700000416,25.26411259995075,25.26411259995075,25.26411259995075,25.26411259995075,25.25218979996862,25.252222499984782,25.26411259995075,26.05335639999248,,,,,,,,,24.097128800000064,24.108170299965423,24.264149700000416,24.253439499996603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h08.16.592,Teamprojekt,,2025.1.0,84.33011528079332,2026-06-16 21h08.21.297996 +0200,
