thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,keyStart.keys,keyStart.rt,keyStart.duration,StartScreen.stopped,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63269689999288,12.64339799998561,13.133133199997246,13.82166249997681,space,0.6870147000299767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
0,0,0,Portal,0,f,2.1882545999833383,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,13.83821719995467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.222040899971034,16.231601499952376,17.022204099979717,17.031634799961466,,,,,,,,,,,,,,,,,,,#4DAF4A,13.83179799997015,13.83821719995467,13.83821719995467,13.83821719995467,13.83821719995467,13.83821719995467,13.83821719995467,13.83821719995467,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.0220158000011,14.022050499974284,14.031677799997851,14.031677799997851,14.022317999973893,14.025610099954065,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.031677799997851,14.23267069994472,14.23267069994472,14.23267069994472,14.23267069994472,14.23267069994472,14.23267069994472,16.22193529998185,f,2.1882545999833383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
1,1,0,Standard,0.08,j,1.8232613999862224,None,,,,,,,,,,,,,,0,1,1,10,,,,,,,,,17.031634799961466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14307229995029,19.154701499966905,19.943811499979347,,,,,,,,,,,,,,,,,,,,#984EA3,17.025566799973603,17.031634799961466,17.031634799961466,17.031634799961466,17.031634799961466,17.031634799961466,17.031634799961466,17.031634799961466,17.231519199965987,17.231519199965987,17.231519199965987,17.231519199965987,17.231519199965987,17.231519199965987,17.231519199965987,17.2218621999491,17.221911299973726,17.231519199965987,17.309267599950545,17.298688799957745,17.30138469999656,17.309267599950545,17.309267599950545,17.309267599950545,17.309267599950545,17.309267599950545,17.309267599950545,17.309267599950545,17.309267599950545,17.509917699964717,17.509917699964717,17.509917699964717,17.509917699964717,17.509917699964717,17.509917699964717,19.14300679997541,j,1.8232613999862224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
2,2,0,Barrier,0.02,j,2.3282056999742053,None,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,19.953967899957206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.510588599951006,22.520341800001916,23.310288799984846,23.32011169998441,,,,,,,,,,,,,,,,,,,#E41A1C,19.94699759996729,19.953967899957206,19.953967899957206,19.953967899957206,19.953967899957206,19.953967899957206,19.953967899957206,19.953967899957206,20.154645399947185,20.154645399947185,20.154645399947185,20.154645399947185,20.154645399947185,20.154645399947185,20.154645399947185,20.143021199968643,20.143067999975756,20.154645399947185,20.175838999974076,20.165951299946755,20.16952539997874,20.175838999974076,20.175838999974076,20.175838999974076,20.175838999974076,20.175838999974076,20.175838999974076,20.175838999974076,20.175838999974076,20.377092299982905,20.377092299982905,20.377092299982905,20.377092299982905,20.377092299982905,20.377092299982905,22.51049079996301,j,2.3282056999742053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
3,3,0,Standard,0,f,0.9814514000318013,None,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,23.32011169998441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.509740299952682,24.520980299974326,25.30909159994917,25.32003809994785,,,,,,,,,,,,,,,,,,,#FF7F00,23.313484099984635,23.32011169998441,23.32011169998441,23.32011169998441,23.32011169998441,23.32011169998441,23.32011169998441,23.32011169998441,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.509734299965203,23.509795899968594,23.52052649995312,23.52052649995312,23.50999489997048,23.51288219995331,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.52052649995312,23.721122799965087,23.721122799965087,23.721122799965087,23.721122799965087,23.721122799965087,23.721122799965087,24.5096509999712,f,0.9814514000318013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
4,4,0,Portal,0.16,j,0.973609300039243,None,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,25.32003809994785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.65386589994887,26.664428199990653,27.45449739997275,,,,,,,,,,,,,,,,,,,,#377EB8,25.31198159995256,25.32003809994785,25.32003809994785,25.32003809994785,25.32003809994785,25.32003809994785,25.32003809994785,25.32003809994785,25.521084799955133,25.521084799955133,25.521084799955133,25.521084799955133,25.521084799955133,25.521084799955133,25.521084799955133,25.51004359999206,25.51009289996,25.521084799955133,25.67578169994522,25.665664099971764,25.66903969994746,25.67578169994522,25.67578169994522,25.67578169994522,25.67578169994522,25.67578169994522,25.67578169994522,25.67578169994522,25.67578169994522,25.875708499981556,25.875708499981556,25.875708499981556,25.875708499981556,25.875708499981556,25.875708499981556,26.653803499997593,j,0.973609300039243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
5,5,0,Barrier,0.16,j,0.6982908000354655,None,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,27.464433799963444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.52101779996883,28.531157199991867,29.31999419996282,29.33204680000199,,,,,,,,,,,,,,,,,,,#F781BF,27.457609299977776,27.464433799963444,27.464433799963444,27.464433799963444,27.464433799963444,27.464433799963444,27.464433799963444,27.464433799963444,27.665316400001757,27.665316400001757,27.665316400001757,27.665316400001757,27.665316400001757,27.665316400001757,27.665316400001757,27.65472959994804,27.65479039994534,27.665316400001757,27.82081099995412,27.808971099962946,27.812415899999905,27.82081099995412,27.82081099995412,27.82081099995412,27.82081099995412,27.82081099995412,27.82081099995412,27.82081099995412,27.82081099995412,28.020060499955434,28.020060499955434,28.020060499955434,28.020060499955434,28.020060499955434,28.020060499955434,28.520897199981846,j,0.6982908000354655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
6,6,0,Portal,0.08,f,0.6214835999999195,None,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,29.33204680000199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.24309959996026,30.25363919994561,31.043122999952175,31.05303469998762,,,,,,,,,,,,,,,,,,,#E41A1C,29.323710999975447,29.33204680000199,29.33204680000199,29.33204680000199,29.33204680000199,29.33204680000199,29.33204680000199,29.33204680000199,29.530932099965867,29.530932099965867,29.530932099965867,29.530932099965867,29.530932099965867,29.530932099965867,29.530932099965867,29.521086399967317,29.521121400000993,29.530932099965867,29.609837499971036,29.598478199972305,29.602096099988557,29.609837499971036,29.609837499971036,29.609837499971036,29.609837499971036,29.609837499971036,29.609837499971036,29.609837499971036,29.609837499971036,29.809633500000928,29.809633500000928,29.809633500000928,29.809633500000928,29.809633500000928,29.809633500000928,30.243034599989187,f,0.6214835999999195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
7,7,0,Standard,0.02,j,0.5574351000250317,None,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,31.05303469998762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.843495699984487,31.853980199957732,32.642758999951184,32.65293359995121,,,,,,,,,,,,,,,,,,,#1B9E77,31.04609639995033,31.05303469998762,31.05303469998762,31.05303469998762,31.05303469998762,31.05303469998762,31.05303469998762,31.05303469998762,31.254140099976212,31.254140099976212,31.254140099976212,31.254140099976212,31.254140099976212,31.254140099976212,31.254140099976212,31.24233609996736,31.242372699955013,31.254140099976212,31.27525099995546,31.264415899990126,31.267129499989096,31.27525099995546,31.27525099995546,31.27525099995546,31.27525099995546,31.27525099995546,31.27525099995546,31.27525099995546,31.27525099995546,31.476119999948423,31.476119999948423,31.476119999948423,31.476119999948423,31.476119999948423,31.476119999948423,31.843428699998185,j,0.5574351000250317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
8,8,0,Portal,0.02,f,0.597021900000982,None,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,32.65293359995121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.47690029995283,33.4872690999764,34.27642049995484,34.28691289998824,,,,,,,,,,,,,,,,,,,#FF7F00,32.64581859996542,32.65293359995121,32.65293359995121,32.65293359995121,32.65293359995121,32.65293359995121,32.65293359995121,32.65293359995121,32.85385600000154,32.85385600000154,32.85385600000154,32.85385600000154,32.85385600000154,32.85385600000154,32.85385600000154,32.843145499995444,32.84319289994892,32.85385600000154,32.876228699984495,32.865285699954256,32.86967589997221,32.876228699984495,32.876228699984495,32.876228699984495,32.876228699984495,32.876228699984495,32.876228699984495,32.876228699984495,32.876228699984495,33.075977200001944,33.075977200001944,33.075977200001944,33.075977200001944,33.075977200001944,33.075977200001944,33.476799399999436,f,0.597021900000982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
