thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.00276159995701164,0.006453299953136593,0.9979189999867231,1.088288399972953,space,0.08224290004000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,1.0978339999564923,,,,,,,,,RL,1.0893289999803528,1.0978339999564923,1.0978339999564923,1.0978339999564923,1.0978339999564923,1.2978860999573953,1.2978860999573953,1.2978860999573953,1.2978860999573953,1.2869742999901064,1.2873778999783099,1.2978860999573953,1.2978860999573953,1.2978860999573953,1.2978860999573953,1.4987987999920733,1.4987987999920733,1.4987987999920733,1.4987987999920733,1.4868558999733068,1.4868862999719568,1.4987987999920733,2.2879740999778733,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,2.297838500002399,,,,,,,,,RL,2.2887377999722958,2.297838500002399,2.297838500002399,2.297838500002399,2.297838500002399,2.497882399999071,2.497882399999071,2.497882399999071,2.497882399999071,2.4872996999765746,2.487956899974961,2.497882399999071,2.497882399999071,2.497882399999071,2.497882399999071,2.6979920999729075,2.6979920999729075,2.6979920999729075,2.6979920999729075,2.686840599984862,2.686872399994172,2.6979920999729075,3.4874320999952033,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.4986138999811374,,,,,,,,,LR,3.488115399959497,3.4986138999811374,3.4986138999811374,3.4986138999811374,3.4986138999811374,3.698626899975352,3.698626899975352,3.698626899975352,3.698626899975352,3.6877096999669448,3.6881811999483034,3.698626899975352,3.698626899975352,3.698626899975352,3.698626899975352,3.8979243999929167,3.8979243999929167,3.8979243999929167,3.8979243999929167,3.8873162999516353,3.8873482999624684,3.8979243999929167,4.687278900004458,4.6975450000027195,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,4.6975450000027195,,,,,,,,,LR,4.687931599968579,4.6975450000027195,4.6975450000027195,4.6975450000027195,4.6975450000027195,4.897817299992312,4.897817299992312,4.897817299992312,4.897817299992312,4.886658100003842,4.887011299957521,4.897817299992312,4.897817299992312,4.897817299992312,4.897817299992312,5.09908119996544,5.09908119996544,5.09908119996544,5.09908119996544,5.086942599969916,5.086976599995978,5.09908119996544,5.887074199970812,5.89853939996101,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8871995999943465,5.89853939996101,6.386846899986267,6.398734399990644,space,0.004987400025129318,None,,,,,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,6.408839099982288,,,,,,,,,RL,6.3994331999565475,6.408839099982288,6.408839099982288,6.408839099982288,6.408839099982288,6.60970599995926,6.60970599995926,6.60970599995926,6.60970599995926,6.597932899952866,6.753823199949693,6.764382899971679,6.764382899971679,6.764382899971679,6.764382899971679,6.9643976999796,6.9643976999796,6.9643976999796,6.9643976999796,6.953344499983359,6.9533921999973245,6.9643976999796,7.75525759998709,,,,,,,,,6.597962200001348,6.60970599995926,6.764382899971679,6.753380499954801,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,7.764063899987377,,,,,,,,,RL,7.756500699964818,7.764063899987377,7.764063899987377,7.764063899987377,7.764063899987377,7.96409699996002,7.96409699996002,7.96409699996002,7.96409699996002,7.953368699993007,8.110488399979658,8.120304799987935,8.120304799987935,8.120304799987935,8.120304799987935,8.319651499972679,8.319651499972679,8.319651499972679,8.319651499972679,8.309829399979208,8.30988829996204,8.319651499972679,9.10965070000384,9.120275699999183,,,,,,,,7.953399499994703,7.96409699996002,8.120304799987935,8.109965999959968,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,9.120275699999183,,,,,,,,,RL,9.110325099958573,9.120275699999183,9.120275699999183,9.120275699999183,9.120275699999183,9.31951229996048,9.31951229996048,9.31951229996048,9.31951229996048,9.309877799998503,9.4656281999778,9.47504889999982,9.47504889999982,9.47504889999982,9.47504889999982,9.67593659996055,9.67593659996055,9.67593659996055,9.67593659996055,9.665747399965767,9.665793199965265,9.67593659996055,10.464760699949693,10.47602389997337,,,,,,,,9.309936199977528,9.31951229996048,9.47504889999982,9.465145199967083,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,10.47602389997337,,,,,,,,,LR,10.465523799997754,10.47602389997337,10.47602389997337,10.47602389997337,10.47602389997337,10.67596769996453,10.67596769996453,10.67596769996453,10.67596769996453,10.665200899995398,10.82086179999169,10.83070269995369,10.83070269995369,10.83070269995369,10.83070269995369,11.030991299950983,11.030991299950983,11.030991299950983,11.030991299950983,11.02068189997226,11.020736499980558,11.030991299950983,11.819921399990562,11.831163499969989,,,,,,,,10.66524699999718,10.67596769996453,10.83070269995369,10.820315899967682,,,,,,,,,001,2026-06-16_22h04.08.549,Teamprojekt,,2025.1.0,86.72319865909044,2026-06-16 22h04.12.784905 +0200,
