thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97507789998781,11.986839999968652,12.474703099986073,12.931097099964973,space,0.4496008999994956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
0,0,0,Standard,0,f,0.6547628999687731,None,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,12.948339199996553,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,13.998257900006138,14.008842399984132,14.808218399994075,14.798000400012825,,,,,,,,,,,,,,,,,,,#F781BF,12.941815899976064,12.948339199996553,12.948339199996553,12.948339199996553,12.948339199996553,12.948339199996553,12.948339199996553,12.948339199996553,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.143325799959712,13.143386500014458,13.156196099997032,13.156196099997032,13.143562699959148,13.147877899988089,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.156196099997032,13.34130729996832,13.35245649999706,13.35245649999706,13.35245649999706,13.35245649999706,13.35245649999706,13.35245649999706,13.99817819998134,f,0.6547628999687731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
1,1,0,Standard,0.02,j,0.4459544999990612,None,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,14.808218399994075,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,15.676267399976496,15.685602999990806,16.48556689999532,16.47560559998965,,,,,,,,,,,,,,,,,,,#984EA3,14.801790500001516,14.808218399994075,14.808218399994075,14.808218399994075,14.808218399994075,14.808218399994075,14.808218399994075,14.808218399994075,15.008635999984108,15.008635999984108,15.008635999984108,15.008635999984108,15.008635999984108,15.008635999984108,15.008635999984108,14.997028399957344,14.997062499984168,15.008635999984108,15.030465499963611,15.019670600013342,15.023329799994826,15.030465499963611,15.030465499963611,15.030465499963611,15.030465499963611,15.030465499963611,15.030465499963611,15.030465499963611,15.219822000013664,15.231227899959777,15.231227899959777,15.231227899959777,15.231227899959777,15.231227899959777,15.231227899959777,15.676176999986637,j,0.4459544999990612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
2,2,0,Standard,0.16,f,0.21925199998077005,None,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,16.48556689999532,,,,,,,,,RL,,,,,,,,,,,,,,,,,,,,,17.252661100006662,17.264803599973675,,18.053006200003438,,,,,,,,,,,,,,,,,,,#F781BF,16.479141999967396,16.48556689999532,16.48556689999532,16.48556689999532,16.48556689999532,16.48556689999532,16.48556689999532,16.48556689999532,16.68568170000799,16.68568170000799,16.68568170000799,16.68568170000799,16.68568170000799,16.68568170000799,16.68568170000799,16.676130099978764,16.676182299968787,16.68568170000799,16.84199429996079,16.830233699991368,16.833738099958282,16.84199429996079,16.84199429996079,16.84199429996079,16.84199429996079,16.84199429996079,16.84199429996079,16.84199429996079,17.030941699980758,17.041108899982646,17.041108899982646,17.041108899982646,17.041108899982646,17.041108899982646,17.041108899982646,17.252597099984996,f,0.21925199998077005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
3,3,0,Barrier,0,j,0.3796773999929428,None,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,18.063262499985285,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,18.842076800006907,18.85269899998093,19.652045499999076,19.641128599992953,,,,,,,,,,,,,,,,,,,#984EA3,18.055724099976942,18.063262499985285,18.063262499985285,18.063262499985285,18.063262499985285,18.063262499985285,18.063262499985285,18.063262499985285,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.252757799986284,18.252804699994158,18.26427559996955,18.26427559996955,18.252911699994,18.25692660000641,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.26427559996955,18.453181399963796,18.464287899958435,18.464287899958435,18.464287899958435,18.464287899958435,18.464287899958435,18.464287899958435,18.841994699963834,j,0.3796773999929428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
4,4,0,Barrier,0.16,j,0.2318490999750793,None,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,19.652045499999076,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,20.430215500004124,20.441099999996368,,21.231584699999075,,,,,,,,,,,,,,,,,,,#A65628,19.644108399981633,19.652045499999076,19.652045499999076,19.652045499999076,19.652045499999076,19.652045499999076,19.652045499999076,19.652045499999076,19.8522740000044,19.8522740000044,19.8522740000044,19.8522740000044,19.8522740000044,19.8522740000044,19.8522740000044,19.84225379995769,19.84230269998079,19.8522740000044,20.01046059996588,19.997462900006212,20.00238989997888,20.01046059996588,20.01046059996588,20.01046059996588,20.01046059996588,20.01046059996588,20.01046059996588,20.01046059996588,20.19751109997742,20.208606500003953,20.208606500003953,20.208606500003953,20.208606500003953,20.208606500003953,20.208606500003953,20.430153299996164,j,0.2318490999750793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
5,5,0,Portal,0.16,j,0.22964220005087554,None,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,21.24091359996237,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,22.020102699985728,22.029810199979693,22.829693900013808,22.8187339999713,,,,,,,,,,,,,,,,,,,#4DAF4A,21.234470699972007,21.24091359996237,21.24091359996237,21.24091359996237,21.24091359996237,21.24091359996237,21.24091359996237,21.24091359996237,21.4418510000105,21.4418510000105,21.4418510000105,21.4418510000105,21.4418510000105,21.4418510000105,21.4418510000105,21.43106589996023,21.431114799983334,21.4418510000105,21.597640299994964,21.58606649999274,21.58971729996847,21.597640299994964,21.597640299994964,21.597640299994964,21.597640299994964,21.597640299994964,21.597640299994964,21.597640299994964,21.7863393999869,21.797340399993118,21.797340399993118,21.797340399993118,21.797340399993118,21.797340399993118,21.797340399993118,22.020038299961016,j,0.22964220005087554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
6,6,0,Barrier,0.02,j,0.38176339998608455,None,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,22.829693900013808,,,,,,,,,LR,,,,,,,,,,,,,,,,,,,,,23.631149799970444,23.641508299973793,24.440734300005715,24.43105829996057,,,,,,,,,,,,,,,,,,,#4DAF4A,22.821705400012434,22.829693900013808,22.829693900013808,22.829693900013808,22.829693900013808,22.829693900013808,22.829693900013808,22.829693900013808,23.030541999964043,23.030541999964043,23.030541999964043,23.030541999964043,23.030541999964043,23.030541999964043,23.030541999964043,23.020038099959493,23.020089700003155,23.030541999964043,23.0529115999816,23.042006800009403,23.046289899968542,23.0529115999816,23.0529115999816,23.0529115999816,23.0529115999816,23.0529115999816,23.0529115999816,23.0529115999816,23.241744800005108,23.252870099968277,23.252870099968277,23.252870099968277,23.252870099968277,23.252870099968277,23.252870099968277,23.631056699960027,j,0.38176339998608455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
7,7,0,Portal,0.08,f,0.22805480001261458,None,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,24.440734300005715,,,,,,,,,RL,,,,,,,,,,,,,,,,,,,,,25.14221219997853,25.151810200011823,25.9517539999797,25.941254600009415,,,,,,,,,,,,,,,,,,,#E41A1C,24.4340415999759,24.440734300005715,24.440734300005715,24.440734300005715,24.440734300005715,24.440734300005715,24.440734300005715,24.440734300005715,24.64205610001227,24.64205610001227,24.64205610001227,24.64205610001227,24.64205610001227,24.64205610001227,24.64205610001227,24.630043199984357,24.630080299975816,24.64205610001227,24.722047899966128,24.709393800003454,24.714845999958925,24.722047899966128,24.722047899966128,24.722047899966128,24.722047899966128,24.722047899966128,24.722047899966128,24.722047899966128,24.90840539999772,24.91848639998352,24.91848639998352,24.91848639998352,24.91848639998352,24.91848639998352,24.91848639998352,25.14211620000424,f,0.22805480001261458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
8,8,0,Barrier,0.08,j,0.3109137999708764,None,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,25.9517539999797,,,,,,,,,RL,,,,,,,,,,,,,,,,,,,,,26.74149009998655,26.752649199974257,,27.54175109998323,,,,,,,,,,,,,,,,,,,#FF7F00,25.94407649995992,25.9517539999797,25.9517539999797,25.9517539999797,25.9517539999797,25.9517539999797,25.9517539999797,25.9517539999797,26.15183220000472,26.15183220000472,26.15183220000472,26.15183220000472,26.15183220000472,26.15183220000472,26.15183220000472,26.141910400008783,26.141973199963104,26.15183220000472,26.230074999970384,26.219497499987483,26.22323399997549,26.230074999970384,26.230074999970384,26.230074999970384,26.230074999970384,26.230074999970384,26.230074999970384,26.230074999970384,26.419404299987946,26.430471099971328,26.430471099971328,26.430471099971328,26.430471099971328,26.430471099971328,26.430471099971328,26.741420199978165,j,0.3109137999708764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
