thisN,thisTrialN,thisRepN,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002917500038165599,0.006656699988525361,0.9985913999844342,space,0.5706515000201762,None,1.5810618000105023,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h39.59.599,Teamprojekt,,2025.1.0,83.08987994821082,2026-06-16 21h40.04.933666 +0200,
0,0,0,0,0,0,0,1.5877630999893881,,,,,,,,,LR,1.5817016999935731,1.5877630999893881,1.5877630999893881,1.5877630999893881,1.5877630999893881,2.5865064000245184,2.5865064000245184,2.5865064000245184,2.5865064000245184,2.576893799996469,2.577372200030368,2.5865064000245184,2.5865064000245184,2.5865064000245184,2.5865064000245184,3.5865346000064164,3.5865346000064164,3.5865346000064164,3.5865346000064164,3.576498700014781,3.576538600027561,3.5865346000064164,4.387044800037984,4.376432300021406,,001,2026-06-16_21h39.59.599,Teamprojekt,,2025.1.0,83.08987994821082,2026-06-16 21h40.04.933666 +0200,
1,0,1,1,0,1,0,4.387044800037984,,,,,,,,,RL,4.377094399998896,4.387044800037984,4.387044800037984,4.387044800037984,4.387044800037984,5.386857900011819,5.386857900011819,5.386857900011819,5.386857900011819,5.376345399999991,5.376848499989137,5.386857900011819,5.386857900011819,5.386857900011819,5.386857900011819,6.38729450001847,6.38729450001847,6.38729450001847,6.38729450001847,6.375357899989467,6.375402200035751,6.38729450001847,,7.175965600006748,,001,2026-06-16_21h39.59.599,Teamprojekt,,2025.1.0,83.08987994821082,2026-06-16 21h40.04.933666 +0200,
2,0,2,2,0,2,0,7.186785800033249,,,,,,,,,LR,7.176470000005793,7.186785800033249,7.186785800033249,7.186785800033249,7.186785800033249,8.186735600000247,8.186735600000247,8.186735600000247,8.186735600000247,8.175633599981666,8.175994399993215,8.186735600000247,8.186735600000247,8.186735600000247,8.186735600000247,9.186734899994917,9.186734899994917,9.186734899994917,9.186734899994917,9.175961500033736,9.176007300033234,9.186734899994917,9.987098500016145,9.9752002999885,,001,2026-06-16_21h39.59.599,Teamprojekt,,2025.1.0,83.08987994821082,2026-06-16 21h40.04.933666 +0200,
3,0,3,3,0,3,0,9.987098500016145,,,,,,,,,RL,9.975685000012163,9.987098500016145,9.987098500016145,9.987098500016145,9.987098500016145,10.985954899981152,10.985954899981152,10.985954899981152,10.985954899981152,10.97573469998315,10.976062000030652,10.985954899981152,10.985954899981152,10.985954899981152,10.985954899981152,,,,,,,,,,,,,,,,,,
