thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,causalColor,direction,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
2,2,0,Portal,0,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,8.002390699984971,,7.991776899958495,8.002390699984971,8.803064699983224,8.791928699996788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
3,3,0,Standard,0.02,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,8.803064699983224,,8.79211119998945,8.803064699983224,9.603634500002954,9.59305470000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
4,4,0,Barrier,0,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,9.603634500002954,,9.593267399992328,9.603634500002954,10.40204089996405,10.39131409995025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
5,5,0,Standard,0.08,,,,,,,,,,,,,,0,5,5,10,,,,,,,,,10.40204089996405,,10.391449199989438,10.40204089996405,11.202958999958355,11.191165999975055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
6,6,0,Standard,0.16,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,11.202958999958355,,11.191313799994532,11.202958999958355,12.003051699954085,11.99222719995305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
7,7,0,Barrier,0.08,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,12.003051699954085,,11.992362099990714,12.003051699954085,12.802611299965065,12.791735899983905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
8,8,0,Barrier,0.02,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,12.802611299965065,,12.791918899980374,12.802611299965065,13.602737199980766,13.591230799967889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
9,9,0,Barrier,0.16,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,13.602737199980766,,13.591412899957504,13.602737199980766,14.401842399965972,14.391584199969657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
10,10,0,Portal,0.08,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,14.401842399965972,,14.391717799997423,14.401842399965972,15.202024899946991,15.19139669998549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
11,11,0,Portal,0.02,,,,,,,,,,,,,,0,11,11,1,,,,,,,,,15.202024899946991,,15.191599299956579,15.202024899946991,16.001850300002843,15.991032899997663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
