thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.55409769999096,16.564736199972685,17.053793700004462,34.9987800999661,space,17.937942199991085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
0,0,0,Barrier,0.02,j,2.390659400029108,None,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,35.01442620001035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6303550999728,37.64175279997289,38.43021299998509,38.441795699996874,,,,,,,,,,,,,,,,,,,blue,35.00781470001675,35.01442620001035,35.01442620001035,35.01442620001035,35.01442620001035,35.01442620001035,35.01442620001035,35.01442620001035,35.20879359997343,35.20879359997343,35.20879359997343,35.20879359997343,35.20879359997343,35.20879359997343,35.20879359997343,35.198483999993186,35.19854219997069,35.20879359997343,35.22986809996655,35.22095079999417,35.222080799983814,35.22986809996655,35.22986809996655,35.22986809996655,35.22986809996655,35.22986809996655,35.22986809996655,35.22986809996655,35.22986809996655,35.430215600004885,35.430215600004885,35.430215600004885,35.430215600004885,35.430215600004885,35.430215600004885,37.630289699998684,j,2.390659400029108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
1,1,0,Barrier,0.16,f,2.066465599986259,None,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,38.441795699996874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.86453099997016,40.875155200017616,41.66340279998258,41.67419449996669,,,,,,,,,,,,,,,,,,,orange,38.431557399977464,38.441795699996874,38.441795699996874,38.441795699996874,38.441795699996874,38.441795699996874,38.441795699996874,38.441795699996874,38.6416774999816,38.6416774999816,38.6416774999816,38.6416774999816,38.6416774999816,38.6416774999816,38.6416774999816,38.63104810001096,38.63109829998575,38.6416774999816,38.79724789998727,38.785832199966535,38.787052600004245,38.79724789998727,38.79724789998727,38.79724789998727,38.79724789998727,38.79724789998727,38.79724789998727,38.79724789998727,38.79724789998727,38.99680720001925,38.99680720001925,38.99680720001925,38.99680720001925,38.99680720001925,38.99680720001925,40.86446780001279,f,2.066465599986259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
2,2,0,Portal,0.08,f,1.5028302000137046,None,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,41.67419449996669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.46377059997758,43.47424900002079,44.26371349999681,44.27436069998657,,,,,,,,,,,,,,,,,,,green,41.66461259999778,41.67419449996669,41.67419449996669,41.67419449996669,41.67419449996669,41.67419449996669,41.67419449996669,41.67419449996669,41.874285999976564,41.874285999976564,41.874285999976564,41.874285999976564,41.874285999976564,41.874285999976564,41.874285999976564,41.863157199986745,41.86318869999377,41.874285999976564,41.95179580000695,41.94198950001737,41.94332249998115,41.95179580000695,41.95179580000695,41.95179580000695,41.95179580000695,41.95179580000695,41.95179580000695,41.95179580000695,41.95179580000695,42.15276189998258,42.15276189998258,42.15276189998258,42.15276189998258,42.15276189998258,42.15276189998258,43.46366319997469,f,1.5028302000137046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
3,3,0,Portal,0.16,f,1.5676101999706589,None,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,44.27436069998657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.209356000006665,46.2185274999938,47.00737720000325,47.01827090000734,,,,,,,,,,,,,,,,,,,blue,44.26483840000583,44.27436069998657,44.27436069998657,44.27436069998657,44.27436069998657,44.27436069998657,44.27436069998657,44.27436069998657,44.473804600012954,44.473804600012954,44.473804600012954,44.473804600012954,44.473804600012954,44.473804600012954,44.473804600012954,44.463681900000665,44.46371609997004,44.473804600012954,44.629361299972516,44.61938629997894,44.620658200001344,44.629361299972516,44.629361299972516,44.629361299972516,44.629361299972516,44.629361299972516,44.629361299972516,44.629361299972516,44.629361299972516,44.82952379999915,44.82952379999915,44.82952379999915,44.82952379999915,44.82952379999915,44.82952379999915,46.209258599963505,f,1.5676101999706589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
4,4,0,Standard,0.16,j,0.9965169000206515,None,,,,,,,,,,,,,,0,4,4,11,,,,,,,,,47.01827090000734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.37399469997035,48.38550089998171,49.17391820001649,49.185707599972375,,,,,,,,,,,,,,,,,,,magenta,47.00854429998435,47.01827090000734,47.01827090000734,47.01827090000734,47.01827090000734,47.01827090000734,47.01827090000734,47.01827090000734,47.21824849996483,47.21824849996483,47.21824849996483,47.21824849996483,47.21824849996483,47.21824849996483,47.21824849996483,47.20741839997936,47.20745300000999,47.21824849996483,47.373810399963986,47.36323040002026,47.364384300017264,47.373810399963986,47.373810399963986,47.373810399963986,47.373810399963986,47.373810399963986,47.373810399963986,47.373810399963986,47.373810399963986,47.573772399977315,47.573772399977315,47.573772399977315,47.573772399977315,47.573772399977315,47.573772399977315,48.37393240001984,j,0.9965169000206515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
5,5,0,Standard,0,j,1.4807385999592952,None,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,49.185707599972375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87419860000955,50.884747300005984,51.674256499973126,51.685805000015534,,,,,,,,,,,,,,,,,,,magenta,49.175030199985486,49.185707599972375,49.185707599972375,49.185707599972375,49.185707599972375,49.185707599972375,49.185707599972375,49.185707599972375,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.37520740000764,49.37524129997473,49.38513329997659,49.38513329997659,49.37533650000114,49.3764155000099,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.38513329997659,49.586137200007215,49.586137200007215,49.586137200007215,49.586137200007215,49.586137200007215,49.586137200007215,50.87411189998966,j,1.4807385999592952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
6,6,0,Portal,0.02,f,1.992732500017155,None,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,51.685805000015534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.90755740000168,53.918142799986526,54.706922699988354,54.71780129999388,,,,,,,,,,,,,,,,,,,blue,51.67536819999805,51.685805000015534,51.685805000015534,51.685805000015534,51.685805000015534,51.685805000015534,51.685805000015534,51.685805000015534,51.88502290000906,51.88502290000906,51.88502290000906,51.88502290000906,51.88502290000906,51.88502290000906,51.88502290000906,51.874170399969444,51.87422040000092,51.88502290000906,51.90684189996682,51.89677639998263,51.89791860000696,51.90684189996682,51.90684189996682,51.90684189996682,51.90684189996682,51.90684189996682,51.90684189996682,51.90684189996682,51.90684189996682,52.106793500017375,52.106793500017375,52.106793500017375,52.106793500017375,52.106793500017375,52.106793500017375,53.907496300002094,f,1.992732500017155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
7,7,0,Barrier,0.08,j,2.2342600999982096,None,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,54.71780129999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23064029996749,57.23991970001953,58.030031299975235,58.04051099997014,,,,,,,,,,,,,,,,,,,green,54.70802499999991,54.71780129999388,54.71780129999388,54.71780129999388,54.71780129999388,54.71780129999388,54.71780129999388,54.71780129999388,54.91898209997453,54.91898209997453,54.91898209997453,54.91898209997453,54.91898209997453,54.91898209997453,54.91898209997453,54.907103799981996,54.90713629999664,54.91898209997453,54.99548689997755,54.9862817999674,54.98740819998784,54.99548689997755,54.99548689997755,54.99548689997755,54.99548689997755,54.99548689997755,54.99548689997755,54.99548689997755,54.99548689997755,55.196338600013405,55.196338600013405,55.196338600013405,55.196338600013405,55.196338600013405,55.196338600013405,57.23057600000175,j,2.2342600999982096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
8,8,0,Standard,0.08,j,1.3069481000420637,None,,,,,,,,,,,,,,0,8,8,10,,,,,,,,,58.04051099997014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.62983539997367,59.640983499994036,60.42957989999559,60.43968329997733,,,,,,,,,,,,,,,,,,,blue,58.03112820000388,58.04051099997014,58.04051099997014,58.04051099997014,58.04051099997014,58.04051099997014,58.04051099997014,58.04051099997014,58.24086839996744,58.24086839996744,58.24086839996744,58.24086839996744,58.24086839996744,58.24086839996744,58.24086839996744,58.229086600011215,58.22913429996697,58.24086839996744,58.31757100002142,58.30661520001013,58.30769099999452,58.31757100002142,58.31757100002142,58.31757100002142,58.31757100002142,58.31757100002142,58.31757100002142,58.31757100002142,58.31757100002142,58.517775500018615,58.517775500018615,58.517775500018615,58.517775500018615,58.517775500018615,58.517775500018615,59.62974489998305,j,1.3069481000420637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h57.33.157,Teamprojekt,,2025.1.0,86.91570914948942,2026-06-16 18h57.39.810642 +0200,
