thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,group,colorTest.started,keyColorTest.started,redCircle.started,blueCircle.started,greenCircle.started,purpleCircle.started,orangeCircle.started,brownCircle.started,pinkCircle.started,tealCircle.started,colorTest.stopped,keyColorTest.keys,keyColorTest.rt,keyColorTest.duration,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,PracticeExplained.started,textPracticeExplained.started,keyPracticeStart.started,PracticeExplained.stopped,keyPracticeStart.keys,keyPracticeStart.rt,keyPracticeStart.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,blank500.started,blankText500.started,blankText500.stopped,blank500.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,blockNumber,participantID,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,15.669833000050858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.214571800082922,16.22510080016218,17.025898300111294,17.014490900095552,RL,15.659835000056773,15.669833000050858,15.669833000050858,15.669833000050858,15.669833000050858,15.86925520002842,15.86925520002842,15.86925520002842,15.86925520002842,15.858994900016114,16.014242900069803,16.024342100135982,16.024342100135982,16.024342100135982,16.024342100135982,16.22510080016218,16.22510080016218,16.22510080016218,16.22510080016218,16.214505000039935,,,,,,,,15.859061400173232,15.86925520002842,16.024342100135982,16.01360320020467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,17.025898300111294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.570062100188807,17.58157250005752,18.38079550000839,18.36992120021023,LR,17.015389800071716,17.025898300111294,17.025898300111294,17.025898300111294,17.025898300111294,17.224993400042877,17.224993400042877,17.224993400042877,17.224993400042877,17.2143261001911,17.370257900096476,17.38059280021116,17.38059280021116,17.38059280021116,17.38059280021116,17.58157250005752,17.58157250005752,17.58157250005752,17.58157250005752,17.57000940013677,,,,,,,,17.214376700110734,17.224993400042877,17.38059280021116,17.369737500092015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,18.38079550000839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.925472100032493,18.936191800050437,19.734952700091526,19.7252790001221,LR,18.37068530009128,18.38079550000839,18.38079550000839,18.38079550000839,18.38079550000839,18.580578200053424,18.580578200053424,18.580578200053424,18.580578200053424,18.57007410004735,18.725742400158197,18.734957800013945,18.734957800013945,18.734957800013945,18.734957800013945,18.936191800050437,18.936191800050437,18.936191800050437,18.936191800050437,18.925403100205585,,,,,,,,18.570141300093383,18.580578200053424,18.734957800013945,18.725213800091296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,19.734952700091526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.28094430011697,20.2916211001575,21.09058150020428,21.08065990009345,RL,19.72606230014935,19.734952700091526,19.734952700091526,19.734952700091526,19.734952700091526,19.935943700140342,19.935943700140342,19.935943700140342,19.935943700140342,19.924744400195777,20.081249200040475,20.090764300199226,20.090764300199226,20.090764300199226,20.090764300199226,20.2916211001575,20.2916211001575,20.2916211001575,20.2916211001575,20.280876600183547,,,,,,,,19.92481050011702,19.935943700140342,20.090764300199226,20.080730400048196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.080816800007597,21.09058150020428,21.579903500154614,31.979662000201643,space,10.394760499941185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.97975860000588,31.9911120000761,,32.78020770009607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
0,0,0,Barrier,0.02,f,0.44837110000662506,None,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,32.80462450021878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.17417990020476,34.18505720002577,34.99055890017189,34.97406930010766,RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C200FB,32.79311630013399,32.80462450021878,32.80462450021878,32.80462450021878,32.80462450021878,32.80462450021878,32.80462450021878,32.80462450021878,33.00766670005396,33.00766670005396,33.00766670005396,33.00766670005396,33.00766670005396,33.00766670005396,33.00766670005396,32.996477500069886,32.99653110001236,33.00766670005396,33.0344655001536,33.01807230012491,33.021907600108534,33.0344655001536,33.0344655001536,33.0344655001536,33.0344655001536,33.0344655001536,33.0344655001536,33.0344655001536,33.217957500135526,33.229106300044805,33.229106300044805,33.229106300044805,33.229106300044805,33.229106300044805,33.229106300044805,33.67431980022229,f,0.44837110000662506,None,33.67447130009532,33.684131800197065,34.18505720002577,34.17411490017548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
1,1,0,Portal,0.02,f,0.5652725999243557,None,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,34.99055890017189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.46279630018398,36.47328760009259,37.27760910009965,37.262667200062424,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#1E88E5,34.979154700180516,34.99055890017189,34.99055890017189,34.99055890017189,34.99055890017189,34.99055890017189,34.99055890017189,34.99055890017189,35.18459210009314,35.18459210009314,35.18459210009314,35.18459210009314,35.18459210009314,35.18459210009314,35.18459210009314,35.17431400017813,35.17438520002179,35.18459210009314,35.212032300187275,35.19605050003156,35.200005900114775,35.212032300187275,35.212032300187275,35.212032300187275,35.212032300187275,35.212032300187275,35.212032300187275,35.212032300187275,35.39513280009851,35.40683690016158,35.40683690016158,35.40683690016158,35.40683690016158,35.40683690016158,35.40683690016158,35.9634286002256,f,0.5652725999243557,None,35.96353190019727,35.97338270000182,36.47328760009259,36.462749200174585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
2,2,0,Portal,0.08,f,0.31041119992733,None,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,37.27760910009965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.551701800199226,38.56174800009467,39.36640590010211,39.351525800069794,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2EBD59,37.26615110016428,37.27760910009965,37.27760910009965,37.27760910009965,37.27760910009965,37.27760910009965,37.27760910009965,37.27760910009965,37.474453600123525,37.474453600123525,37.474453600123525,37.474453600123525,37.474453600123525,37.474453600123525,37.474453600123525,37.46493160002865,37.465100300032645,37.474453600123525,37.55618980014697,37.54048910015263,37.54445010004565,37.55618980014697,37.55618980014697,37.55618980014697,37.55618980014697,37.55618980014697,37.55618980014697,37.55618980014697,37.739742200123146,37.750984700163826,37.750984700163826,37.750984700163826,37.750984700163826,37.750984700163826,37.750984700163826,38.0516172000207,f,0.31041119992733,None,38.05172240012325,38.06146080000326,38.56174800009467,38.55164140020497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
3,3,0,Barrier,0,f,0.5045613998081535,None,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,39.36640590010211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7625157001894,40.773324500070885,41.57740070018917,41.56256060022861,RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2EBD59,39.35494550014846,39.36640590010211,39.36640590010211,39.36640590010211,39.36640590010211,39.36640590010211,39.36640590010211,39.36640590010211,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.55201150011271,39.552082100184634,39.56886300002225,39.56886300002225,39.552298000082374,39.5563571001403,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.56886300002225,39.75098900008015,39.77322390000336,39.77322390000336,39.77322390000336,39.77322390000336,39.77322390000336,39.77322390000336,40.26280380017124,f,0.5045613998081535,None,40.26294320006855,40.27367480006069,40.773324500070885,40.76246970007196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2026-06-24_15h37.32.905,Teamprojekt,,2025.1.0,85.07307773599686,2026-06-24 15h37.44.030665 +0200,
