thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0038901999942027032,0.008227600017562509,1.0010613999911584,1.241755299968645,space,0.22320979996584356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,1.2489887999836355,,,,,,,,,LR,1.2424428999656811,1.2489887999836355,1.2489887999836355,1.2489887999836355,1.2489887999836355,1.4444219999713823,1.4444219999713823,1.4444219999713823,1.4444219999713823,1.4359527999768034,1.436427399981767,1.4444219999713823,1.4444219999713823,1.4444219999713823,1.4444219999713823,1.6452779999817722,1.6452779999817722,1.6452779999817722,1.6452779999817722,1.633623700006865,1.6336914999992587,1.6452779999817722,2.4337927000015043,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,2.444510600005742,,,,,,,,,LR,2.434465199999977,2.444510600005742,2.444510600005742,2.444510600005742,2.444510600005742,2.6443462999886833,2.6443462999886833,2.6443462999886833,2.6443462999886833,2.6333974999724887,2.63376379996771,2.6443462999886833,2.6443462999886833,2.6443462999886833,2.6443462999886833,2.8443538999999873,2.8443538999999873,2.8443538999999873,2.8443538999999873,2.834402200009208,2.8344425999675877,2.8443538999999873,3.6355764999752864,3.644283399975393,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.644283399975393,,,,,,,,,RL,3.6361011000117287,3.644283399975393,3.644283399975393,3.644283399975393,3.644283399975393,3.8448590000043623,3.8448590000043623,3.8448590000043623,3.8448590000043623,3.8344134999788366,3.8348890999914147,3.8448590000043623,3.8448590000043623,3.8448590000043623,3.8448590000043623,4.044962399988435,4.044962399988435,4.044962399988435,4.044962399988435,4.0343209999846295,4.034365199971944,4.044962399988435,4.834132799995132,4.844466799986549,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,4.844466799986549,,,,,,,,,RL,4.835031599970534,4.844466799986549,4.844466799986549,4.844466799986549,4.844466799986549,5.045173399965279,5.045173399965279,5.045173399965279,5.045173399965279,5.033614700019825,5.033962799992878,5.045173399965279,5.045173399965279,5.045173399965279,5.045173399965279,5.245156799966935,5.245156799966935,5.245156799966935,5.245156799966935,5.23366690002149,5.233710500004236,5.245156799966935,6.03429410001263,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.034463300020434,6.044312199985143,6.533034399966709,6.701033300021663,space,0.16053060005651787,None,,,,,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,6.71106860000873,,,,,,,,,LR,6.702053799992427,6.71106860000873,6.71106860000873,6.71106860000873,6.71106860000873,6.912123899965081,6.912123899965081,6.912123899965081,6.912123899965081,6.900963999971282,7.056035800022073,7.066433399973903,7.066433399973903,7.066433399973903,7.066433399973903,7.2662815999938175,7.2662815999938175,7.2662815999938175,7.2662815999938175,7.256479499978013,7.256524999975227,7.2662815999938175,8.05539419996785,8.066417099966202,,,,,,,,6.901014700008091,6.912123899965081,7.066433399973903,7.055674600007478,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,8.066417099966202,,,,,,,,,LR,8.056038799986709,8.066417099966202,8.066417099966202,8.066417099966202,8.066417099966202,8.267248999967705,8.267248999967705,8.267248999967705,8.267248999967705,8.25639150000643,8.411986000020988,8.422802999964915,8.422802999964915,8.422802999964915,8.422802999964915,8.62279579997994,8.62279579997994,8.62279579997994,8.62279579997994,8.611600600008387,8.61163589998614,8.62279579997994,9.411807299999055,,,,,,,,,8.256446200015489,8.267248999967705,8.422802999964915,8.41151439998066,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,9.421742299979087,,,,,,,,,RL,9.412522699974943,9.421742299979087,9.421742299979087,9.421742299979087,9.421742299979087,9.622722600004636,9.622722600004636,9.622722600004636,9.622722600004636,9.611319200019352,9.767859800020233,9.7772430999903,9.7772430999903,9.7772430999903,9.7772430999903,9.978417599981185,9.978417599981185,9.978417599981185,9.978417599981185,9.96703499997966,9.967069100006483,9.978417599981185,10.767226599971764,,,,,,,,,9.611366099969018,9.622722600004636,9.7772430999903,9.767369300010614,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,10.77772279997589,,,,,,,,,LR,10.768091199977789,10.77772279997589,10.77772279997589,10.77772279997589,10.77772279997589,10.978195799980313,10.978195799980313,10.978195799980313,10.978195799980313,10.967374100000598,11.123359200020786,11.13279970001895,11.13279970001895,11.13279970001895,11.13279970001895,11.333038899989333,11.333038899989333,11.333038899989333,11.333038899989333,11.321896700013895,11.321942700014915,11.333038899989333,12.122655000013765,,,,,,,,,10.967432099976577,10.978195799980313,11.13279970001895,11.122901599970646,,,,,,,,,001,2026-06-16_22h24.54.924,Teamprojekt,,2025.1.0,89.4003382626495,2026-06-16 22h24.59.177382 +0200,
