thisN,thisTrialN,thisRepN,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.004347999987658113,0.010117000027094036,0.010117000027094036,1.154215499991551,space,1.1331485999980941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-15_20h31.07.570,Teamprojekt,,2025.1.0,86.4856636715683,2026-06-15 20h31.13.223944 +0200,
0,0,0,0,0,0,0,1.1600030999979936,,,,,,,,,1.1545577000360936,1.1600030999979936,1.1600030999979936,1.1600030999979936,1.1600030999979936,1.3612165999948047,1.3612165999948047,1.3612165999948047,1.3612165999948047,1.3498365000123158,1.3498768000281416,1.3612165999948047,1.3612165999948047,1.3612165999948047,1.3612165999948047,1.5599479000084102,1.5599479000084102,1.5599479000084102,1.5599479000084102,1.5504060999955982,1.5504373000003397,1.5599479000084102,2.36022110003978,2.3490332000073977,,,,,001,2026-06-15_20h31.07.570,Teamprojekt,,2025.1.0,86.4856636715683,2026-06-15 20h31.13.223944 +0200,
1,0,1,1,0,1,0,2.36022110003978,,,,,,,,,2.349160599987954,2.36022110003978,2.36022110003978,2.36022110003978,2.36022110003978,2.5600918999989517,2.5600918999989517,2.5600918999989517,2.5600918999989517,2.54949950001901,2.5495326000382192,2.5600918999989517,2.5600918999989517,2.5600918999989517,2.5600918999989517,2.7602220000117086,2.7602220000117086,2.7602220000117086,2.7602220000117086,2.748941100027878,2.7489873000304215,2.7602220000117086,3.560550299996976,3.5488989999867044,,,,,001,2026-06-15_20h31.07.570,Teamprojekt,,2025.1.0,86.4856636715683,2026-06-15 20h31.13.223944 +0200,
2,0,2,2,0,2,0,3.560550299996976,,,,,,,,,3.54903600004036,3.560550299996976,3.560550299996976,3.560550299996976,3.560550299996976,3.760581100010313,3.760581100010313,3.760581100010313,3.760581100010313,3.7501521999947727,3.7501853000139818,3.760581100010313,3.760581100010313,3.760581100010313,3.760581100010313,3.959955600032117,3.959955600032117,3.959955600032117,3.959955600032117,3.9489166000275873,3.9489498999901116,3.959955600032117,,4.7493862000410445,,,,,001,2026-06-15_20h31.07.570,Teamprojekt,,2025.1.0,86.4856636715683,2026-06-15 20h31.13.223944 +0200,
3,0,3,3,0,3,0,4.760606900032144,,,,,,,,,4.749532199988607,4.760606900032144,4.760606900032144,4.760606900032144,4.760606900032144,4.9616394999902695,4.9616394999902695,4.9616394999902695,4.9616394999902695,4.950024300022051,4.950056400033645,4.9616394999902695,4.9616394999902695,4.9616394999902695,4.9616394999902695,5.1601768000400625,5.1601768000400625,5.1601768000400625,5.1601768000400625,5.150369200040586,5.150403100007679,5.1601768000400625,5.959769500012044,5.949051700008567,,,,,001,2026-06-15_20h31.07.570,Teamprojekt,,2025.1.0,86.4856636715683,2026-06-15 20h31.13.223944 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.949180700001307,5.959769500012044,5.959769500012044,,,,,,,,,
