thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.913255500025116,25.925090600037947,26.41295440000249,29.390902400016785,space,2.9754063000436872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
0,0,0,Standard,0.16,f,1.4096568999812007,None,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,29.41107520001242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99149770004442,32.00265979999676,,32.791611600026954,,,,,,,,,,,,,,,,,,,#F781BF,29.40164660004666,29.41107520001242,29.41107520001242,29.41107520001242,29.41107520001242,29.41107520001242,29.41107520001242,29.41107520001242,30.41349090001313,30.41349090001313,30.41349090001313,30.41349090001313,30.41349090001313,30.41349090001313,30.41349090001313,30.402175700000953,30.40220800001407,30.41349090001313,30.569749500020407,30.558463100052904,30.561494500027038,30.569749500020407,30.569749500020407,30.569749500020407,30.569749500020407,30.569749500020407,30.569749500020407,30.569749500020407,30.569749500020407,31.569244700018317,31.569244700018317,31.569244700018317,31.569244700018317,31.569244700018317,31.569244700018317,31.99143270001514,f,1.4096568999812007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
1,1,0,Standard,0.02,j,1.3801560000283644,None,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,32.80147450004006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21316949999891,35.224636400002055,36.023947500041686,36.01289510005154,,,,,,,,,,,,,,,,,,,#4DAF4A,32.794658400001936,32.80147450004006,32.80147450004006,32.80147450004006,32.80147450004006,32.80147450004006,32.80147450004006,32.80147450004006,33.80214080004953,33.80214080004953,33.80214080004953,33.80214080004953,33.80214080004953,33.80214080004953,33.80214080004953,33.791098100016825,33.79114590003155,33.80214080004953,33.82472890004283,33.81273160001729,33.8156707000453,33.82472890004283,33.82472890004283,33.82472890004283,33.82472890004283,33.82472890004283,33.82472890004283,33.82472890004283,33.82472890004283,34.82461800001329,34.82461800001329,34.82461800001329,34.82461800001329,34.82461800001329,34.82461800001329,35.21310250001261,j,1.3801560000283644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
2,2,0,Standard,0,f,1.27999190002447,None,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,36.023947500041686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.31450360000599,38.32352530001663,39.123407900042366,39.11358790000668,,,,,,,,,,,,,,,,,,,#1B9E77,36.01628260000143,36.023947500041686,36.023947500041686,36.023947500041686,36.023947500041686,36.023947500041686,36.023947500041686,36.023947500041686,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.01282150001498,37.01286760001676,37.02660930005368,37.02660930005368,37.01300190004986,37.01754600001732,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,37.02660930005368,38.024493300006725,38.024493300006725,38.024493300006725,38.024493300006725,38.024493300006725,38.024493300006725,38.314391100022476,f,1.27999190002447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
3,3,0,Standard,0.08,j,1.230743199994322,None,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,39.123407900042366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.434931399999186,41.44633070001146,,42.23510430002352,,,,,,,,,,,,,,,,,,,#984EA3,39.11642680002842,39.123407900042366,39.123407900042366,39.123407900042366,39.123407900042366,39.123407900042366,39.123407900042366,39.123407900042366,40.123427400016226,40.123427400016226,40.123427400016226,40.123427400016226,40.123427400016226,40.123427400016226,40.123427400016226,40.113515500037465,40.113561400037725,40.123427400016226,40.20109750004485,40.19025340001099,40.193173500010744,40.20109750004485,40.20109750004485,40.20109750004485,40.20109750004485,40.20109750004485,40.20109750004485,40.20109750004485,40.20109750004485,41.201130600005854,41.201130600005854,41.201130600005854,41.201130600005854,41.201130600005854,41.201130600005854,41.434865800023545,j,1.230743199994322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
4,4,0,Portal,0.16,f,0.9008939000195824,None,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,42.245420999999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.312696500041056,44.32373780000489,45.123855800018646,45.11259000003338,,,,,,,,,,,,,,,,,,,#A65628,42.23790420003934,42.245420999999624,42.245420999999624,42.245420999999624,42.245420999999624,42.245420999999624,42.245420999999624,42.245420999999624,43.24642490001861,43.24642490001861,43.24642490001861,43.24642490001861,43.24642490001861,43.24642490001861,43.24642490001861,43.23453130002599,43.23456270003226,43.24642490001861,43.400930500007235,43.39004040003056,43.393506000051275,43.400930500007235,43.400930500007235,43.400930500007235,43.400930500007235,43.400930500007235,43.400930500007235,43.400930500007235,43.400930500007235,,,,,,,44.31259590003174,f,0.9008939000195824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
5,5,0,Portal,0.08,j,0.7976391999982297,None,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,45.123855800018646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00192720000632,47.01203790004365,47.8118726000539,47.801535000035074,,,,,,,,,,,,,,,,,,,#1B9E77,45.11625120003009,45.123855800018646,45.123855800018646,45.123855800018646,45.123855800018646,45.123855800018646,45.123855800018646,45.123855800018646,46.12306280003395,46.12306280003395,46.12306280003395,46.12306280003395,46.12306280003395,46.12306280003395,46.12306280003395,46.11334690003423,46.11340990004828,46.12306280003395,46.202153200050816,46.19126900000265,46.196178500016686,46.202153200050816,46.202153200050816,46.202153200050816,46.202153200050816,46.202153200050816,46.202153200050816,46.202153200050816,46.202153200050816,,,,,,,47.00186250003753,j,0.7976391999982297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
6,6,0,Portal,0,j,1.3457517999922857,None,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,47.8118726000539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.16822960000718,50.17904230003478,50.978324400028214,50.967847000050824,,,,,,,,,,,,,,,,,,,#377EB8,47.805142700031865,47.8118726000539,47.8118726000539,47.8118726000539,47.8118726000539,47.8118726000539,47.8118726000539,47.8118726000539,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.801227700023446,48.80127580004046,48.81233050004812,48.81233050004812,48.80139259999851,48.80476800003089,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,48.81233050004812,49.81279260001611,49.81279260001611,49.81279260001611,49.81279260001611,49.81279260001611,49.81279260001611,50.16816200001631,j,1.3457517999922857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
7,7,0,Barrier,0.02,f,0.9004607999813743,None,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,50.978324400028214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.91264870000305,52.923421300016344,,53.712772300001234,,,,,,,,,,,,,,,,,,,#A65628,50.970805899996776,50.978324400028214,50.978324400028214,50.978324400028214,50.978324400028214,50.978324400028214,50.978324400028214,50.978324400028214,51.97910100000445,51.97910100000445,51.97910100000445,51.97910100000445,51.97910100000445,51.97910100000445,51.97910100000445,51.967695500003174,51.967729500029236,51.97910100000445,52.00097530003404,51.989882400026545,51.993323100032285,52.00097530003404,52.00097530003404,52.00097530003404,52.00097530003404,52.00097530003404,52.00097530003404,52.00097530003404,52.00097530003404,,,,,,,52.912576300033834,f,0.9004607999813743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
8,8,0,Barrier,0.16,j,0.7091845000395551,None,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,53.723622200021055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59067210002104,55.6003038000199,56.400199400028214,56.390343600010965,,,,,,,,,,,,,,,,,,,#377EB8,53.71587030001683,53.723622200021055,53.723622200021055,53.723622200021055,53.723622200021055,53.723622200021055,53.723622200021055,53.723622200021055,54.72334150003735,54.72334150003735,54.72334150003735,54.72334150003735,54.72334150003735,54.72334150003735,54.72334150003735,54.71281140000792,54.71285840001656,54.72334150003735,54.878555900009815,54.86817660002271,54.87191530002747,54.878555900009815,54.878555900009815,54.878555900009815,54.878555900009815,54.878555900009815,54.878555900009815,54.878555900009815,54.878555900009815,,,,,,,55.59057290002238,j,0.7091845000395551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
